,date_cal,rain_cal,Q_obs_cal,Q_sim_cal
2646,2008/ 3/31,3.41,30.97,37.41
2647,2008/ 4/ 1,0.22,30.2,38.301
2648,2008/ 4/ 2,3.05,46.61,41.066
2649,2008/ 4/ 3,0.14,33.4,41.506
2650,2008/ 4/ 4,0.04,35.6,40.163
2651,2008/ 4/ 5,0.05,32.6,65.144
2652,2008/ 4/ 6,0.01,34.35,68.362
2653,2008/ 4/ 7,0.14,30.66,53.479
2654,2008/ 4/ 8,0.19,43.05,45.759
2655,2008/ 4/ 9,4.72,32.18,46.081
2656,2008/ 4/10,1.9,42.0,45.318
2657,2008/ 4/11,0.0,46.32,41.849
2658,2008/ 4/12,0.1,44.48,37.643
2659,2008/ 4/13,5.83,40.35,37.851
2660,2008/ 4/14,0.0,41.62,37.984
2661,2008/ 4/15,0.2,31.19,35.228
2662,2008/ 4/16,0.0,37.51,30.915
2663,2008/ 4/17,0.09,32.89,27.099
2664,2008/ 4/18,0.0,27.26,22.841
2665,2008/ 4/19,0.0,27.44,18.538
2666,2008/ 4/20,0.0,24.17,15.03
2667,2008/ 4/21,0.0,20.94,12.696
2668,2008/ 4/22,0.26,21.13,11.117
2669,2008/ 4/23,3.07,10.95,12.428
2670,2008/ 4/24,0.0,13.27,11.77
2671,2008/ 4/25,0.48,11.59,11.876
2672,2008/ 4/26,9.64,13.27,22.843
2673,2008/ 4/27,0.8,18.37,26.902
2674,2008/ 4/28,0.0,3.73,26.263
2675,2008/ 4/29,0.03,11.68,23.772
2676,2008/ 4/30,0.0,6.89,20.106
2677,2008/ 5/ 1,0.0,7.35,16.095
2678,2008/ 5/ 2,0.0,4.51,12.357
2679,2008/ 5/ 3,0.0,0.75,9.781
2680,2008/ 5/ 4,0.08,6.31,8.22
2681,2008/ 5/ 5,1.82,2.21,8.547
2682,2008/ 5/ 6,0.0,3.28,7.59
2683,2008/ 5/ 7,2.92,2.07,9.538
2684,2008/ 5/ 8,0.03,5.76,9.001
2685,2008/ 5/ 9,0.0,3.85,7.469
2686,2008/ 5/10,0.0,1.93,6.199
2687,2008/ 5/11,0.0,0.76,5.818
2688,2008/ 5/12,0.22,1.71,5.428
2689,2008/ 5/13,6.53,2.67,11.882
2690,2008/ 5/14,0.0,1.88,13.133
2691,2008/ 5/15,0.0,4.08,11.587
2692,2008/ 5/16,0.0,6.53,8.945
2693,2008/ 5/17,1.39,11.02,7.783
2694,2008/ 5/18,43.38,18.06,138.034
2695,2008/ 5/19,6.96,81.24,198.693
2696,2008/ 5/20,0.08,77.97,140.915
2697,2008/ 5/21,1.93,50.02,103.452
2698,2008/ 5/22,0.0,36.05,74.085
2699,2008/ 5/23,0.0,29.07,55.245
2700,2008/ 5/24,0.0,16.68,46.429
2701,2008/ 5/25,0.0,26.47,38.792
2702,2008/ 5/26,0.0,10.84,32.19
2703,2008/ 5/27,0.27,8.43,26.636
2704,2008/ 5/28,23.81,31.54,70.99
2705,2008/ 5/29,0.11,33.53,84.36
2706,2008/ 5/30,6.23,29.16,81.745
2707,2008/ 5/31,0.21,21.21,72.934
2708,2008/ 6/ 1,0.0,32.38,56.32
2709,2008/ 6/ 2,3.05,12.88,52.147
2710,2008/ 6/ 3,1.59,15.56,49.395
2711,2008/ 6/ 4,3.86,15.55,49.61
2712,2008/ 6/ 5,12.72,21.39,76.544
2713,2008/ 6/ 6,0.09,41.08,81.631
2714,2008/ 6/ 7,0.0,29.78,62.977
2715,2008/ 6/ 8,0.26,30.05,52.146
2716,2008/ 6/ 9,0.0,16.2,45.134
2717,2008/ 6/10,0.0,10.31,38.302
2718,2008/ 6/11,0.01,20.51,31.777
2719,2008/ 6/12,2.96,23.46,29.624
2720,2008/ 6/13,0.03,12.84,25.776
2721,2008/ 6/14,0.04,13.52,21.817
2722,2008/ 6/15,0.0,10.07,18.597
2723,2008/ 6/16,0.01,10.24,15.602
2724,2008/ 6/17,0.01,8.31,13.511
2725,2008/ 6/18,41.18,61.3,114.317
2726,2008/ 6/19,0.81,90.7,156.727
2727,2008/ 6/20,0.01,53.85,115.186
2728,2008/ 6/21,0.26,44.03,80.662
2729,2008/ 6/22,6.22,23.56,74.339
2730,2008/ 6/23,0.01,30.39,66.888
2731,2008/ 6/24,0.06,39.16,53.808
2732,2008/ 6/25,0.03,28.23,46.343
2733,2008/ 6/26,0.0,21.75,39.184
2734,2008/ 6/27,1.75,22.53,34.831
2735,2008/ 6/28,2.64,22.2,33.764
2736,2008/ 6/29,20.2,39.23,74.206
2737,2008/ 6/30,0.0,58.37,84.812
2738,2008/ 7/ 1,0.0,43.04,64.01
2739,2008/ 7/ 2,6.51,32.37,64.276
2740,2008/ 7/ 3,13.3,66.69,98.383
2741,2008/ 7/ 4,0.0,69.9,102.016
2742,2008/ 7/ 5,0.01,56.65,74.899
2743,2008/ 7/ 6,0.0,39.56,58.014
2744,2008/ 7/ 7,0.79,29.06,50.462
2745,2008/ 7/ 8,0.0,32.21,43.29
2746,2008/ 7/ 9,0.0,18.64,36.339
2747,2008/ 7/10,0.0,22.32,30.159
2748,2008/ 7/11,0.0,15.25,24.464
2749,2008/ 7/12,6.2,25.55,27.918
2750,2008/ 7/13,30.62,95.14,101.592
2751,2008/ 7/14,0.88,78.11,132.543
2752,2008/ 7/15,1.57,39.82,106.363
2753,2008/ 7/16,8.89,43.24,106.467
2754,2008/ 7/17,0.26,39.91,96.462
2755,2008/ 7/18,0.03,39.75,72.148
2756,2008/ 7/19,26.4,43.5,132.759
2757,2008/ 7/20,58.04,502.56,665.131
2758,2008/ 7/21,2.59,432.42,659.186
2759,2008/ 7/22,0.23,223.6,197.249
2760,2008/ 7/23,0.15,144.71,122.738
2761,2008/ 7/24,175.31,2126.18,1722.188
2762,2008/ 7/25,27.14,2307.61,1972.209
2763,2008/ 7/26,37.52,964.49,853.602
2764,2008/ 7/27,5.56,772.31,550.194
2765,2008/ 7/28,0.0,356.52,231.38
2766,2008/ 7/29,0.14,216.38,155.388
2767,2008/ 7/30,14.42,180.78,157.334
2768,2008/ 7/31,0.02,135.89,151.175
2769,2008/ 8/ 1,0.0,95.17,115.0
2770,2008/ 8/ 2,31.74,128.99,213.928
2771,2008/ 8/ 3,49.94,1416.95,675.051
2772,2008/ 8/ 4,0.04,476.42,613.055
2773,2008/ 8/ 5,0.0,241.84,195.885
2774,2008/ 8/ 6,0.0,158.04,123.165
2775,2008/ 8/ 7,0.0,111.95,93.996
2776,2008/ 8/ 8,0.0,83.3,78.996
2777,2008/ 8/ 9,3.67,77.8,72.237
2778,2008/ 8/10,0.66,66.05,65.245
2779,2008/ 8/11,1.43,48.89,59.586
2780,2008/ 8/12,39.99,154.68,195.457
2781,2008/ 8/13,6.22,137.6,248.365
2782,2008/ 8/14,19.89,105.08,268.043
2783,2008/ 8/15,1.1,159.9,251.823
2784,2008/ 8/16,11.02,132.68,194.436
2785,2008/ 8/17,0.13,110.21,167.398
2786,2008/ 8/18,44.23,316.76,423.072
2787,2008/ 8/19,0.61,361.18,428.998
2788,2008/ 8/20,0.11,195.61,175.527
2789,2008/ 8/21,0.04,138.23,118.589
2790,2008/ 8/22,64.87,269.34,563.953
2791,2008/ 8/23,4.7,803.71,603.257
2792,2008/ 8/24,0.04,359.81,211.977
2793,2008/ 8/25,0.02,220.91,137.461
2794,2008/ 8/26,0.03,145.07,101.764
2795,2008/ 8/27,1.03,111.23,83.458
2796,2008/ 8/28,0.0,93.83,72.499
2797,2008/ 8/29,0.0,75.44,63.071
2798,2008/ 8/30,0.0,63.51,54.649
2799,2008/ 8/31,0.0,50.58,47.2
2800,2008/ 9/ 1,39.07,79.43,143.942
2801,2008/ 9/ 2,20.01,343.94,306.115
2802,2008/ 9/ 3,0.0,221.93,278.761
2803,2008/ 9/ 4,0.0,139.34,149.483
2804,2008/ 9/ 5,0.03,98.47,105.52
2805,2008/ 9/ 6,0.07,86.38,81.391
2806,2008/ 9/ 7,0.0,62.4,68.463
2807,2008/ 9/ 8,0.0,62.4,59.241
2808,2008/ 9/ 9,0.0,44.54,51.232
2809,2008/ 9/10,0.0,44.19,44.208
2810,2008/ 9/11,0.0,38.65,38.38
2811,2008/ 9/12,0.0,38.2,33.133
2812,2008/ 9/13,0.0,32.4,28.346
2813,2008/ 9/14,0.0,22.0,24.688
2814,2008/ 9/15,0.0,28.17,22.079
2815,2008/ 9/16,0.0,32.57,20.618
2816,2008/ 9/17,0.0,20.17,19.169
2817,2008/ 9/18,0.0,20.21,17.816
2818,2008/ 9/19,0.0,20.58,16.559
2819,2008/ 9/20,3.78,24.21,18.368
2820,2008/ 9/21,0.04,18.04,17.519
2821,2008/ 9/22,0.91,19.65,16.775
2822,2008/ 9/23,0.65,18.44,15.786
2823,2008/ 9/24,0.12,18.43,14.163
2824,2008/ 9/25,6.49,24.57,20.245
2825,2008/ 9/26,0.0,24.23,21.157
2826,2008/ 9/27,0.0,12.56,19.676
2827,2008/ 9/28,0.0,23.86,17.382
2828,2008/ 9/29,0.0,0.6,14.673
2829,2008/ 9/30,0.0,20.86,12.066
2830,2008/10/ 1,0.02,8.76,10.193
2831,2008/10/ 2,0.02,8.74,8.832
2832,2008/10/ 3,0.0,14.85,8.3
2833,2008/10/ 4,0.0,14.94,7.765
2834,2008/10/ 5,0.18,9.26,7.264
2835,2008/10/ 6,0.33,9.16,6.811
2836,2008/10/ 7,2.86,9.23,8.963
2837,2008/10/ 8,0.07,21.25,8.947
2838,2008/10/ 9,0.0,5.82,7.592
2839,2008/10/10,0.0,11.74,6.396
2840,2008/10/11,0.0,12.03,5.444
2841,2008/10/12,0.0,12.18,5.13
2842,2008/10/13,0.0,0.75,4.813
2843,2008/10/14,0.0,0.79,4.513
2844,2008/10/15,0.0,6.35,4.233
2845,2008/10/16,0.0,6.23,3.971
2846,2008/10/17,0.0,12.13,3.725
2847,2008/10/18,0.0,6.48,3.49
2848,2008/10/19,0.0,6.84,3.278
2849,2008/10/20,0.0,1.17,3.068
2850,2008/10/21,0.31,1.24,2.871
2851,2008/10/22,6.31,13.0,9.163
2852,2008/10/23,4.76,14.04,16.661
2853,2008/10/24,0.16,8.72,17.831
2854,2008/10/25,6.78,14.33,20.501
2855,2008/10/26,0.25,3.54,20.254
2856,2008/10/27,0.03,2.4,18.431
2857,2008/10/28,0.0,3.67,16.153
2858,2008/10/29,0.0,3.44,13.851
2859,2008/10/30,0.0,3.78,11.64
2860,2008/10/31,5.34,15.31,15.582
2861,2008/11/ 1,0.01,4.96,16.271
2862,2008/11/ 2,0.0,5.22,17.745
2863,2008/11/ 3,0.0,3.3,16.628
2864,2008/11/ 4,0.0,5.66,14.631
2865,2008/11/ 5,0.0,5.41,12.275
2866,2008/11/ 6,0.0,5.6,9.916
2867,2008/11/ 7,0.0,5.61,7.88
2868,2008/11/ 8,0.19,5.49,6.519
2869,2008/11/ 9,1.94,5.73,7.468
2870,2008/11/10,0.23,5.56,7.507
2871,2008/11/11,0.0,0.67,6.793
2872,2008/11/12,0.0,6.05,5.778
2873,2008/11/13,0.0,6.11,5.042
2874,2008/11/14,0.0,0.57,4.527
2875,2008/11/15,2.23,12.61,6.043
2876,2008/11/16,0.07,1.05,6.281
2877,2008/11/17,0.05,0.94,5.732
2878,2008/11/18,0.0,3.61,4.846
2879,2008/11/19,0.0,5.01,4.195
2880,2008/11/20,0.16,5.41,3.749
2881,2008/11/21,0.18,6.4,3.578
2882,2008/11/22,0.0,1.18,3.419
2883,2008/11/23,0.0,4.11,3.27
2884,2008/11/24,0.0,1.13,3.137
2885,2008/11/25,0.03,6.8,3.019
2886,2008/11/26,0.0,1.52,2.907
2887,2008/11/27,3.38,6.81,3.224
2888,2008/11/28,6.34,2.24,7.341
2889,2008/11/29,2.45,12.29,8.876
2890,2008/11/30,0.01,7.07,8.744
2891,2008/12/ 1,0.21,1.63,8.603
2892,2008/12/ 2,0.06,7.21,8.366
2893,2008/12/ 3,0.0,1.52,7.981
2894,2008/12/ 4,3.2,5.57,9.176
2895,2008/12/ 5,0.06,0.59,8.731
2896,2008/12/ 6,0.0,1.75,7.773
2897,2008/12/ 7,0.06,5.06,6.764
2898,2008/12/ 8,3.01,7.64,6.981
2899,2008/12/ 9,0.91,2.55,7.82
2900,2008/12/10,0.0,8.09,8.658
2901,2008/12/11,5.57,13.44,10.315
2902,2008/12/12,0.0,8.78,10.847
2903,2008/12/13,0.0,0.72,10.579
2904,2008/12/14,0.0,7.76,9.69
2905,2008/12/15,0.0,8.19,8.606
2906,2008/12/16,0.0,3.13,7.509
2907,2008/12/17,2.04,3.41,8.198
2908,2008/12/18,0.0,3.28,7.932
2909,2008/12/19,0.0,3.64,7.232
2910,2008/12/20,5.04,9.0,7.603
2911,2008/12/21,3.49,7.09,7.312
2912,2008/12/22,3.03,8.68,6.668
2913,2008/12/23,0.13,3.64,5.913
2914,2008/12/24,0.1,3.62,5.171
2915,2008/12/25,0.0,3.59,4.416
2916,2008/12/26,0.0,4.15,3.924
2917,2008/12/27,0.0,4.51,3.59
2918,2008/12/28,0.02,4.3,3.462
2919,2008/12/29,0.0,4.08,3.332
2920,2008/12/30,0.0,3.27,3.205
2921,2008/12/31,0.0,2.45,3.09
2922,2009/ 1/ 1,0.0,1.64,2.986
2923,2009/ 1/ 2,0.0,0.82,2.889
2924,2009/ 1/ 3,0.0,3.9,2.798
2925,2009/ 1/ 4,0.0,2.71,2.713
2926,2009/ 1/ 5,0.0,1.51,2.632
2927,2009/ 1/ 6,0.0,0.31,2.557
2928,2009/ 1/ 7,0.0,0.39,2.487
2929,2009/ 1/ 8,0.0,1.23,2.42
2930,2009/ 1/ 9,0.0,1.56,2.355
2931,2009/ 1/10,0.0,1.89,2.294
2932,2009/ 1/11,0.0,2.22,2.232
2933,2009/ 1/12,0.0,1.98,2.174
2934,2009/ 1/13,0.0,1.75,2.122
2935,2009/ 1/14,0.0,1.51,2.121
2936,2009/ 1/15,0.0,1.74,2.121
2937,2009/ 1/16,0.02,1.98,2.12
2938,2009/ 1/17,0.0,2.22,2.119
2939,2009/ 1/18,0.03,2.45,2.119
2940,2009/ 1/19,0.07,2.69,2.118
2941,2009/ 1/20,0.0,1.81,2.117
2942,2009/ 1/21,0.0,0.93,2.117
2943,2009/ 1/22,0.0,0.96,2.116
2944,2009/ 1/23,0.0,0.8,2.116
2945,2009/ 1/24,0.02,2.0,2.115
2946,2009/ 1/25,0.02,7.36,2.114
2947,2009/ 1/26,0.22,0.22,2.113
2948,2009/ 1/27,0.0,5.57,2.113
2949,2009/ 1/28,0.0,5.72,2.112
2950,2009/ 1/29,0.0,5.87,2.111
2951,2009/ 1/30,0.52,1.75,2.111
2952,2009/ 1/31,1.06,1.63,2.11
2953,2009/ 2/ 1,0.0,0.98,2.109
2954,2009/ 2/ 2,0.0,5.86,2.109
2955,2009/ 2/ 3,0.0,2.24,2.596
2956,2009/ 2/ 4,0.0,2.12,3.456
2957,2009/ 2/ 5,0.0,2.34,3.673
2958,2009/ 2/ 6,0.0,0.58,3.175
2959,2009/ 2/ 7,0.0,2.73,2.674
2960,2009/ 2/ 8,0.0,11.99,2.703
2961,2009/ 2/ 9,0.0,2.45,3.577
2962,2009/ 2/10,0.0,2.71,3.615
2963,2009/ 2/11,0.0,3.04,3.935
2964,2009/ 2/12,0.76,2.73,4.456
2965,2009/ 2/13,21.45,35.45,50.204
2966,2009/ 2/14,0.0,104.75,68.707
2967,2009/ 2/15,0.17,49.86,53.295
2968,2009/ 2/16,0.0,21.62,41.933
2969,2009/ 2/17,0.0,7.47,37.252
2970,2009/ 2/18,0.0,17.12,32.743
2971,2009/ 2/19,0.0,12.19,28.454
2972,2009/ 2/20,0.08,2.92,24.475
2973,2009/ 2/21,0.0,16.82,20.899
2974,2009/ 2/22,0.0,3.19,18.043
2975,2009/ 2/23,0.1,5.07,16.178
2976,2009/ 2/24,0.23,7.56,15.561
2977,2009/ 2/25,0.13,3.15,15.196
2978,2009/ 2/26,0.0,12.56,14.301
2979,2009/ 2/27,0.0,4.0,13.344
2980,2009/ 2/28,0.06,3.19,12.383
2981,2009/ 3/ 1,0.0,3.43,11.128
2982,2009/ 3/ 2,0.88,10.82,10.415
2983,2009/ 3/ 3,0.24,4.44,9.969
2984,2009/ 3/ 4,0.0,8.09,9.611
2985,2009/ 3/ 5,2.3,3.52,9.51
2986,2009/ 3/ 6,0.24,3.98,8.924
2987,2009/ 3/ 7,0.0,8.77,7.696
2988,2009/ 3/ 8,0.0,3.62,7.235
2989,2009/ 3/ 9,0.0,3.95,7.188
2990,2009/ 3/10,0.0,4.05,6.968
2991,2009/ 3/11,0.0,4.24,6.551
2992,2009/ 3/12,0.2,4.08,6.588
2993,2009/ 3/13,19.7,13.26,8.926
2994,2009/ 3/14,0.01,8.36,8.916
2995,2009/ 3/15,0.07,18.36,8.79
2996,2009/ 3/16,0.01,8.7,11.558
2997,2009/ 3/17,0.0,4.72,14.679
2998,2009/ 3/18,0.0,13.42,58.876
2999,2009/ 3/19,5.12,35.35,89.028
3000,2009/ 3/20,0.06,35.56,77.507
3001,2009/ 3/21,0.34,21.26,57.005
3002,2009/ 3/22,13.33,43.77,79.98
3003,2009/ 3/23,0.22,66.27,86.342
3004,2009/ 3/24,0.17,44.46,64.456
3005,2009/ 3/25,0.03,40.01,50.95
3006,2009/ 3/26,9.05,35.43,47.722
3007,2009/ 3/27,0.36,26.66,43.339
3008,2009/ 3/28,0.17,22.07,38.68
3009,2009/ 3/29,0.05,17.08,34.379
3010,2009/ 3/30,0.98,22.61,31.58
3011,2009/ 3/31,8.64,26.97,33.487
3012,2009/ 4/ 1,1.98,19.36,34.099
3013,2009/ 4/ 2,0.14,19.23,33.108
3014,2009/ 4/ 3,0.0,19.74,31.716
3015,2009/ 4/ 4,0.0,26.63,30.095
3016,2009/ 4/ 5,0.0,28.16,28.317
3017,2009/ 4/ 6,0.0,28.29,26.189
3018,2009/ 4/ 7,0.0,27.84,31.319
3019,2009/ 4/ 8,0.0,23.84,30.963
3020,2009/ 4/ 9,0.0,19.31,28.069
3021,2009/ 4/10,0.0,28.03,24.177
3022,2009/ 4/11,0.0,27.94,20.015
3023,2009/ 4/12,0.0,13.89,16.236
3024,2009/ 4/13,0.0,19.65,13.222
3025,2009/ 4/14,0.39,19.87,11.086
3026,2009/ 4/15,7.97,19.91,19.522
3027,2009/ 4/16,0.13,20.2,21.926
3028,2009/ 4/17,0.0,24.83,20.837
3029,2009/ 4/18,0.0,20.48,18.005
3030,2009/ 4/19,0.0,8.55,14.489
3031,2009/ 4/20,33.68,41.74,88.361
3032,2009/ 4/21,4.96,115.39,133.329
3033,2009/ 4/22,0.0,120.03,112.376
3034,2009/ 4/23,0.0,85.1,80.169
3035,2009/ 4/24,9.14,63.38,83.2
3036,2009/ 4/25,8.3,67.83,105.898
3037,2009/ 4/26,0.4,76.66,98.265
3038,2009/ 4/27,0.52,69.59,73.349
3039,2009/ 4/28,0.86,65.45,58.611
3040,2009/ 4/29,0.03,51.49,50.972
3041,2009/ 4/30,0.0,44.57,43.961
3042,2009/ 5/ 1,0.0,32.22,37.226
3043,2009/ 5/ 2,1.85,38.72,33.901
3044,2009/ 5/ 3,0.04,25.37,29.518
3045,2009/ 5/ 4,0.0,29.84,24.849
3046,2009/ 5/ 5,0.0,21.6,20.191
3047,2009/ 5/ 6,0.0,19.55,16.615
3048,2009/ 5/ 7,0.0,17.23,14.078
3049,2009/ 5/ 8,0.0,12.68,13.151
3050,2009/ 5/ 9,0.0,8.51,12.204
3051,2009/ 5/10,0.01,8.3,11.33
3052,2009/ 5/11,20.42,34.93,42.433
3053,2009/ 5/12,7.31,30.71,71.421
3054,2009/ 5/13,0.0,35.01,66.325
3055,2009/ 5/14,0.0,21.75,49.333
3056,2009/ 5/15,2.26,17.52,44.87
3057,2009/ 5/16,19.85,30.4,89.67
3058,2009/ 5/17,10.97,49.05,137.41
3059,2009/ 5/18,0.0,98.91,125.467
3060,2009/ 5/19,0.0,69.43,87.182
3061,2009/ 5/20,0.0,51.89,62.751
3062,2009/ 5/21,25.92,75.58,121.236
3063,2009/ 5/22,0.44,94.56,144.004
3064,2009/ 5/23,0.7,77.52,110.657
3065,2009/ 5/24,0.01,64.96,80.298
3066,2009/ 5/25,0.0,47.7,61.109
3067,2009/ 5/26,0.0,39.18,51.504
3068,2009/ 5/27,0.0,30.44,43.205
3069,2009/ 5/28,0.27,26.33,36.031
3070,2009/ 5/29,0.0,22.08,29.838
3071,2009/ 5/30,2.42,26.25,27.537
3072,2009/ 5/31,0.15,10.44,24.218
3073,2009/ 6/ 1,0.0,18.89,20.127
3074,2009/ 6/ 2,60.58,31.56,321.651
3075,2009/ 6/ 3,60.23,633.08,906.322
3076,2009/ 6/ 4,0.0,306.9,703.288
3077,2009/ 6/ 5,0.19,149.44,182.67
3078,2009/ 6/ 6,0.04,91.88,105.546
3079,2009/ 6/ 7,0.17,65.51,78.219
3080,2009/ 6/ 8,0.05,56.62,64.282
3081,2009/ 6/ 9,12.01,56.57,77.875
3082,2009/ 6/10,16.38,83.18,125.445
3083,2009/ 6/11,2.31,70.02,137.236
3084,2009/ 6/12,4.25,65.15,118.203
3085,2009/ 6/13,8.69,60.72,120.688
3086,2009/ 6/14,2.93,69.81,117.343
3087,2009/ 6/15,6.08,60.86,111.784
3088,2009/ 6/16,5.37,65.48,111.932
3089,2009/ 6/17,1.92,75.53,101.199
3090,2009/ 6/18,0.03,58.15,80.211
3091,2009/ 6/19,0.0,44.64,64.763
3092,2009/ 6/20,16.19,59.04,94.204
3093,2009/ 6/21,0.23,71.53,99.43
3094,2009/ 6/22,0.44,54.92,76.632
3095,2009/ 6/23,0.0,34.5,62.19
3096,2009/ 6/24,0.0,41.02,53.425
3097,2009/ 6/25,0.0,27.76,45.551
3098,2009/ 6/26,0.0,23.5,38.621
3099,2009/ 6/27,0.0,23.71,32.168
3100,2009/ 6/28,1.13,15.38,28.082
3101,2009/ 6/29,2.42,19.87,26.956
3102,2009/ 6/30,0.42,24.24,25.121
3103,2009/ 7/ 1,13.07,28.83,38.384
3104,2009/ 7/ 2,7.13,37.22,55.434
3105,2009/ 7/ 3,5.05,32.99,69.909
3106,2009/ 7/ 4,5.34,33.51,78.903
3107,2009/ 7/ 5,0.37,33.32,69.978
3108,2009/ 7/ 6,0.04,29.4,55.945
3109,2009/ 7/ 7,1.4,25.21,50.82
3110,2009/ 7/ 8,1.96,21.22,47.615
3111,2009/ 7/ 9,163.22,1468.34,1488.704
3112,2009/ 7/10,0.21,1099.16,1532.475
3113,2009/ 7/11,1.15,319.18,271.887
3114,2009/ 7/12,137.05,1984.59,1396.152
3115,2009/ 7/13,1.45,1369.7,1405.876
3116,2009/ 7/14,151.86,2250.41,1741.245
3117,2009/ 7/15,0.18,2308.13,1645.739
3118,2009/ 7/16,0.0,525.9,317.297
3119,2009/ 7/17,9.86,270.4,194.08
3120,2009/ 7/18,39.59,386.42,426.266
3121,2009/ 7/19,0.98,626.95,421.877
3122,2009/ 7/20,0.06,323.21,191.345
3123,2009/ 7/21,0.05,207.67,132.634
3124,2009/ 7/22,0.0,148.27,102.603
3125,2009/ 7/23,4.15,103.31,91.853
3126,2009/ 7/24,2.4,91.74,85.513
3127,2009/ 7/25,19.61,163.34,129.006
3128,2009/ 7/26,0.31,123.21,141.284
3129,2009/ 7/27,0.0,88.58,108.617
3130,2009/ 7/28,0.0,69.93,85.534
3131,2009/ 7/29,0.29,59.62,73.998
3132,2009/ 7/30,0.0,47.71,64.749
3133,2009/ 7/31,0.02,47.89,56.255
3134,2009/ 8/ 1,6.42,31.49,56.779
3135,2009/ 8/ 2,0.06,45.19,53.392
3136,2009/ 8/ 3,0.0,34.97,48.555
3137,2009/ 8/ 4,0.0,25.0,42.837
3138,2009/ 8/ 5,0.0,27.21,36.963
3139,2009/ 8/ 6,0.08,15.8,31.834
3140,2009/ 8/ 7,4.24,14.84,32.888
3141,2009/ 8/ 8,0.58,29.67,31.908
3142,2009/ 8/ 9,0.01,23.24,28.963
3143,2009/ 8/10,0.05,15.09,25.615
3144,2009/ 8/11,47.01,59.66,193.017
3145,2009/ 8/12,153.1,2477.39,1742.619
3146,2009/ 8/13,0.18,862.56,1668.45
3147,2009/ 8/14,0.03,332.48,287.652
3148,2009/ 8/15,0.0,187.6,136.176
3149,2009/ 8/16,0.0,123.53,97.299
3150,2009/ 8/17,0.21,93.98,77.833
3151,2009/ 8/18,0.0,76.03,65.407
3152,2009/ 8/19,0.0,55.4,55.713
3153,2009/ 8/20,17.99,90.82,82.46
3154,2009/ 8/21,0.01,74.2,85.728
3155,2009/ 8/22,0.0,47.87,69.336
3156,2009/ 8/23,3.91,38.94,64.814
3157,2009/ 8/24,0.04,39.78,59.454
3158,2009/ 8/25,0.0,24.72,52.967
3159,2009/ 8/26,9.08,34.55,58.139
3160,2009/ 8/27,47.83,228.09,341.629
3161,2009/ 8/28,0.04,178.33,374.785
3162,2009/ 8/29,0.09,86.02,151.749
3163,2009/ 8/30,0.43,74.75,103.019
3164,2009/ 8/31,0.0,55.04,78.724
3165,2009/ 9/ 1,0.0,47.33,64.804
3166,2009/ 9/ 2,0.0,41.52,55.554
3167,2009/ 9/ 3,0.0,28.7,47.702
3168,2009/ 9/ 4,0.0,35.34,40.775
3169,2009/ 9/ 5,0.0,22.79,34.644
3170,2009/ 9/ 6,0.0,22.47,29.598
3171,2009/ 9/ 7,1.71,35.37,27.741
3172,2009/ 9/ 8,0.14,23.56,24.896
3173,2009/ 9/ 9,0.0,23.48,21.59
3174,2009/ 9/10,0.0,17.62,19.009
3175,2009/ 9/11,0.0,14.05,17.078
3176,2009/ 9/12,5.84,26.28,22.411
3177,2009/ 9/13,0.0,26.36,23.036
3178,2009/ 9/14,0.01,14.21,21.679
3179,2009/ 9/15,0.0,14.31,19.193
3180,2009/ 9/16,0.0,20.42,16.268
3181,2009/ 9/17,0.0,8.37,13.827
3182,2009/ 9/18,0.0,14.32,11.984
3183,2009/ 9/19,0.0,14.42,11.233
3184,2009/ 9/20,0.0,14.34,10.48
3185,2009/ 9/21,2.42,8.64,11.565
3186,2009/ 9/22,0.1,14.67,10.893
3187,2009/ 9/23,0.0,8.93,9.442
3188,2009/ 9/24,0.0,14.63,8.216
3189,2009/ 9/25,0.0,8.64,7.717
3190,2009/ 9/26,0.07,14.43,7.214
3191,2009/ 9/27,0.56,8.84,6.758
3192,2009/ 9/28,7.51,14.49,14.877
3193,2009/ 9/29,0.03,14.41,16.815
3194,2009/ 9/30,0.0,8.52,15.742
3195,2009/10/ 1,0.0,10.62,13.485
3196,2009/10/ 2,0.0,10.77,10.842
3197,2009/10/ 3,0.0,4.93,8.455
3198,2009/10/ 4,0.0,10.88,6.766
3199,2009/10/ 5,0.0,5.09,5.637
3200,2009/10/ 6,0.0,5.1,5.27
3201,2009/10/ 7,2.87,4.86,7.36
3202,2009/10/ 8,1.24,5.18,8.683
3203,2009/10/ 9,0.0,17.01,7.93
3204,2009/10/10,0.0,5.2,6.342
3205,2009/10/11,0.0,5.22,5.217
3206,2009/10/12,0.0,11.23,4.369
3207,2009/10/13,2.04,11.33,5.673
3208,2009/10/14,0.64,5.39,6.109
3209,2009/10/15,0.0,5.62,5.209
3210,2009/10/16,0.05,5.92,4.395
3211,2009/10/17,12.72,17.01,18.894
3212,2009/10/18,0.0,11.08,23.668
3213,2009/10/19,11.2,11.23,43.419
3214,2009/10/20,0.0,16.21,46.334
3215,2009/10/21,0.21,10.26,38.842
3216,2009/10/22,0.0,10.75,34.83
3217,2009/10/23,0.78,10.31,31.684
3218,2009/10/24,0.0,4.87,27.918
3219,2009/10/25,0.0,10.65,24.165
3220,2009/10/26,0.0,5.15,20.611
3221,2009/10/27,0.0,5.47,17.41
3222,2009/10/28,0.0,5.4,14.536
