,date_cal,rain_cal,Q_obs_cal,Q_sim_cal
1405,2004/11/ 6,0.1,13.0,8.668
1406,2004/11/ 7,0.0,5.9,6.606
1407,2004/11/ 8,0.0,11.2,5.143
1408,2004/11/ 9,0.11,10.8,4.067
1409,2004/11/10,9.27,13.7,14.037
1410,2004/11/11,4.87,9.7,23.371
1411,2004/11/12,0.21,10.1,25.453
1412,2004/11/13,0.0,15.0,24.259
1413,2004/11/14,0.0,20.3,21.661
1414,2004/11/15,0.0,2.1,18.387
1415,2004/11/16,0.0,0.7,15.169
1416,2004/11/17,0.0,14.0,12.309
1417,2004/11/18,0.0,6.9,9.883
1418,2004/11/19,0.0,8.5,7.875
1419,2004/11/20,0.0,5.5,6.59
1420,2004/11/21,0.0,6.1,5.693
1421,2004/11/22,0.0,7.4,5.434
1422,2004/11/23,0.05,1.4,5.158
1423,2004/11/24,0.0,11.3,4.908
1424,2004/11/25,0.23,5.5,4.672
1425,2004/11/26,17.45,17.9,15.757
1426,2004/11/27,0.28,16.2,20.284
1427,2004/11/28,0.0,18.6,21.287
1428,2004/11/29,0.0,7.0,20.407
1429,2004/11/30,0.0,5.9,18.597
1430,2004/12/ 1,0.0,8.4,16.667
1431,2004/12/ 2,0.0,2.9,15.061
1432,2004/12/ 3,0.12,1.4,13.981
1433,2004/12/ 4,9.56,16.7,21.154
1434,2004/12/ 5,0.15,12.4,23.223
1435,2004/12/ 6,1.8,8.1,22.549
1436,2004/12/ 7,1.5,10.2,21.42
1437,2004/12/ 8,0.0,20.6,20.052
1438,2004/12/ 9,0.0,4.9,18.975
1439,2004/12/10,0.24,2.4,17.897
1440,2004/12/11,0.0,16.5,16.315
1441,2004/12/12,0.0,0.7,14.917
1442,2004/12/13,0.0,7.8,13.391
1443,2004/12/14,0.0,1.1,11.929
1444,2004/12/15,4.93,11.0,12.999
1445,2004/12/16,0.11,14.2,13.255
1446,2004/12/17,0.24,9.7,12.907
1447,2004/12/18,0.0,7.7,12.18
1448,2004/12/19,0.0,2.8,11.533
1449,2004/12/20,0.15,4.3,10.304
1450,2004/12/21,0.0,3.0,9.119
1451,2004/12/22,0.0,4.4,8.014
1452,2004/12/23,0.0,4.8,7.004
1453,2004/12/24,0.06,1.1,6.166
1454,2004/12/25,0.0,0.2,5.521
1455,2004/12/26,0.0,0.9,5.052
1456,2004/12/27,0.0,3.0,4.817
1457,2004/12/28,0.0,0.1,4.598
1458,2004/12/29,0.06,0.1,4.393
1459,2004/12/30,0.0,1.3,4.204
1460,2004/12/31,0.0,2.3,4.028
1461,2005/ 1/ 1,0.0,2.65,3.864
1462,2005/ 1/ 2,0.02,0.54,3.707
1463,2005/ 1/ 3,0.79,0.08,3.553
1464,2005/ 1/ 4,0.0,0.95,3.427
1465,2005/ 1/ 5,0.0,0.59,3.305
1466,2005/ 1/ 6,0.0,0.12,3.181
1467,2005/ 1/ 7,0.01,1.94,3.063
1468,2005/ 1/ 8,0.0,0.07,2.953
1469,2005/ 1/ 9,0.0,3.21,2.853
1470,2005/ 1/10,0.01,0.14,2.757
1471,2005/ 1/11,0.0,0.14,2.659
1472,2005/ 1/12,0.0,0.12,2.572
1473,2005/ 1/13,0.0,0.13,2.494
1474,2005/ 1/14,0.0,0.13,2.423
1475,2005/ 1/15,0.88,0.09,2.353
1476,2005/ 1/16,13.09,0.12,2.291
1477,2005/ 1/17,0.4,0.08,2.29
1478,2005/ 1/18,0.2,0.09,2.289
1479,2005/ 1/19,0.0,1.94,2.289
1480,2005/ 1/20,0.0,0.09,2.288
1481,2005/ 1/21,0.0,0.05,2.287
1482,2005/ 1/22,0.0,1.37,2.286
1483,2005/ 1/23,0.0,1.18,2.286
1484,2005/ 1/24,0.0,9.02,2.285
1485,2005/ 1/25,0.16,1.79,2.284
1486,2005/ 1/26,0.05,6.57,2.283
1487,2005/ 1/27,0.08,5.17,2.283
1488,2005/ 1/28,0.0,2.01,2.282
1489,2005/ 1/29,0.56,5.58,2.281
