date,rain,obs_flow,et,temp,,,
1966-10-05,0,,2.64,15.7,,,
1966-10-06,0,,2.63,15.5,,,
1966-10-07,0,,2.14,15.3,,,
1966-10-08,0,,2.85,15.3,,,
1966-10-09,2.7,,2.94,15.3,,,
1966-10-10,17.49,,2.58,15.3,,,
1966-10-11,2.9,,2.36,15.1,,,
1966-10-12,0.18,,1.14,15,,,
1966-10-13,0.09,,1.24,14.8,,,
1966-10-14,0.13,,2.87,14.5,,,
1966-10-15,0.12,,2.49,14.2,,,
1966-10-16,1.18,,1.9,13.9,,,
1966-10-17,0,,2.2,13.5,,,
1966-10-18,0,,2.2,13.2,,,
1966-10-19,0,,2.21,12.9,,,
1966-10-20,0,,2.49,12.6,,,
1966-10-21,0,,3.28,12.3,,,
1966-10-22,0,,2.81,12.1,,,
1966-10-23,0,,1.97,12,,,
1966-10-24,0,,2.14,11.8,,,
1966-10-25,21.3,,2.01,11.6,,,
1966-10-26,0.5,,2.81,11.5,,,
1966-10-27,0.91,,3.14,11.2,,,
1966-10-28,0.07,,2.17,11,,,
1966-10-29,0.61,,2.08,10.8,,,
1966-10-30,0,,2.44,10.7,,,
1966-10-31,0,,2.28,10.3,,,
1966-11-01,0,,0.87,10,,,
1966-11-02,0,,1.15,9.9,,,
1966-11-03,0,,2.19,9.8,,,
1966-11-04,0,,1.65,9.8,,,
1966-11-05,0,,1.05,10,,,
1966-11-06,0,,1.61,10,,,
1966-11-07,0,,1.91,9.8,,,
1966-11-08,0,,1.48,9.5,,,
1966-11-09,0,,1.72,9.2,,,
1966-11-10,0,,1.78,8.8,,,
1966-11-11,0,,0.86,8.6,,,
1966-11-12,0.79,,1.73,8.4,,,
1966-11-13,21.07,,1.63,8.1,,,
1966-11-14,0.51,,1.01,7.7,,,
1966-11-15,0,,1.75,7.1,,,
1966-11-16,1.72,,1.68,6.4,,,
1966-11-17,0.89,,1.56,5.9,,,
1966-11-18,0,,1.27,5.6,,,
1966-11-19,0,,1.27,5.4,,,
1966-11-20,1.23,,1.41,5.3,,,
1966-11-21,0.07,,1.03,5.5,,,
1966-11-22,0,,1.23,5.6,,,
1966-11-23,0,,0.95,5.5,,,
1966-11-24,15.86,,1.33,5.4,,,
1966-11-25,0.3,,1.32,5.1,,,
1966-11-26,0,,0.82,4.8,,,
1966-11-27,0,,0.58,4.5,,,
1966-11-28,0,,0.9,4.2,,,
1966-11-29,0.6,,0.91,4,,,
1966-11-30,0,,1.42,3.8,,,
1966-12-01,0,,1.06,3.5,,,
1966-12-02,0,,1.15,3.3,,,
1966-12-03,0,,0.89,3.1,,,
1966-12-04,0,,0.74,2.8,,,
1966-12-05,0,,1.05,2.6,,,
1966-12-06,0,,1,2.5,,,
1966-12-07,0,,0.96,2.4,,,
1966-12-08,0,,0.95,2.4,,,
1966-12-09,0,,0.93,2.5,,,
1966-12-10,0,,0.87,2.2,,,
1966-12-11,0.25,,1.15,2.1,,,
1966-12-12,0,,0.69,1.8,,,
1966-12-13,0,,0.62,1.4,,,
1966-12-14,0,,1.22,1.1,,,
1966-12-15,0,,1.58,0.9,,,
1966-12-16,0,,1.06,0.6,,,
1966-12-17,0,,0.49,0.5,,,
1966-12-18,0,,0.47,0.7,,,
1966-12-19,0,,0.75,0.8,,,
1966-12-20,0,,1.32,0.9,,,
1966-12-21,0,,0.98,1.2,,,
1966-12-22,0,,0.6,1.2,,,
1966-12-23,0,,1,1.1,,,
1966-12-24,0,,1.09,0.8,,,
1966-12-25,0,,0.77,0.6,,,
1966-12-26,0,,0.8,0.3,,,
1966-12-27,0,,0.82,0,,,
1966-12-28,0,,0.73,-0.3,,,
1966-12-29,0,,0.86,-0.4,,,
1966-12-30,0,,0.97,-0.6,,,
1966-12-31,4.74,,0.73,-0.6,,,
1967-01-01,1.7,,0.69,0.1,,,
1967-01-02,0,,1.17,-4.3,,,
1967-01-03,0,,1.2,-6.2,,,
1967-01-04,0,,1.18,-5.3,,,
1967-01-05,0,,1.41,-1.4,,,
1967-01-06,0,,1.28,1.5,,,
1967-01-07,0,,1.55,-0.2,,,
1967-01-08,0,,1.22,-6.4,,,
1967-01-09,0,,1.45,-4.6,,,
1967-01-10,0,,1.23,-1.9,,,
1967-01-11,0.13,,0.95,-1,,,
1967-01-12,0,,1.1,-0.5,,,
1967-01-13,0,,1.57,-0.9,,,
1967-01-14,0,,1.45,-5.8,,,
1967-01-15,0,,1.03,-9.2,,,
1967-01-16,0,,1.15,-9.7,,,
1967-01-17,0,,1.16,-5.4,,,
1967-01-18,0,,1.65,-1.7,,,
1967-01-19,0,,1.6,4.1,,,
1967-01-20,0,,1.73,2.4,,,
1967-01-21,0,,2.39,5.3,,,
1967-01-22,0.14,,2.05,5.1,,,
1967-01-23,0,,2.05,0.7,,,
1967-01-24,0,,1.96,4.1,,,
1967-01-25,0,,1.39,4,,,
1967-01-26,0.64,,1.97,4.8,,,
1967-01-27,0.36,,1.9,6.3,,,
1967-01-28,3.14,,0.92,5.8,,,
1967-01-29,1.63,,0.74,4.1,,,
1967-01-30,0.7,,0.96,-1.5,,,
1967-01-31,0.95,,1.2,-2.7,,,
1967-02-01,0,,1.67,-1.7,,,
1967-02-02,1.83,,1.49,-2,,,
1967-02-03,0,,1.46,0,,,
1967-02-04,0,,1.82,1.8,,,
1967-02-05,0,,1.4,3.5,,,
1967-02-06,0,,1.72,4.5,,,
1967-02-07,0,,1.15,3.8,,,
1967-02-08,0,,0.8,3.9,,,
1967-02-09,0.13,,0.76,3.5,,,
